proc_keys,product_name
21000774364-kraftoriginalmacaroniandcheesedinner5ctpack725ozboxes,"Kraft Original Macaroni and Cheese Dinner, 5 ct Pack, 7.25 oz Boxes"
78742371870-greatvaluemushroomspiecesandstems4ozcan,"Great Value Mushrooms Pieces And Stems, 4 oz, Can"
78742062266-greatvalueyellowmustard20ozsqueezebottle,"Great Value Yellow Mustard, 20 oz Squeeze Bottle"
78742040011-4cansgreatvaluechunklighttunainwater5oz,"(4 Cans) Great Value Chunk Light Tuna in Water, 5 oz"
78742082752-greatvaluechunklighttunainwater5oz,"Great Value Chunk Light Tuna in Water, 5 oz"
78742370361-greatvaluebakingsoda16oz,"Great Value Baking Soda, 16 oz"
78742072760-greatvaluereducedsodiumchickenbroth32oz,"Great Value Reduced Sodium Chicken Broth, 32 oz"
78742254685-greatvalueitalianseasoning095oz,"Great Value Italian Seasoning, 0.95 Oz"
17082876317-jacklinksoriginalbeefjerky285oz,"Jack Link's Original Beef Jerky, 2.85 oz"
52100034911-mccormickoriginaltacoseasoningmix1oz,"McCormick Original Taco Seasoning Mix , 1 oz"
71100005516-hiddenvalleyoriginalranchsaladdressingtoppingglutenfree16ozbottle,"Hidden Valley Original Ranch Salad Dressing & Topping, Gluten Free - 16 oz Bottle"
71100005783-hiddenvalleyglutenfreeoriginalranchsaladdressingstopping24floz,"Hidden Valley Gluten-Free, Original Ranch Salad Dressings & Topping, 24 Fl Oz"
24000162896-delmontefrenchstylegreenbeanscannedvegetables145ozcan,"DEL MONTE French Style Green Beans, Canned Vegetables, 14.5 oz Can"
52100096902-mccormickaujusgravyseasoningmix1oz,"McCormick Au Jus Gravy Seasoning Mix, 1 oz"
52100091501-mccormickchiliseasoningmix125oz,"McCormick Chili Seasoning Mix, 1.25 oz"
78742113029-greatvaluerealbaconpieces25oz,"Great Value Real Bacon Pieces, 2.5 oz"
41500220208-frenchsoriginalcrispyfriedonions6oz,"French's Original Crispy Fried Onions, 6 oz"
52000208054-8bottlesgatoradethirstquenchersportsdrinklemonlime20floz,"(8 Bottles) Gatorade Thirst Quencher Sports Drink, Lemon Lime, 20 fl oz"
24000163022-delmontefreshcutgoldensweetwholekernelcorn1525ozcan,"DEL MONTE FRESH CUT Golden Sweet Whole Kernel Corn, 15.25 oz Can"
76410901374-lancesandwichcrackerstoastcheepeanutbutter8ctbox,"Lance Sandwich Crackers, ToastChee Peanut Butter, 8 Ct Box"
78742431048-greatvaluefrozenwholeberrymedley16oz,"Great Value Frozen Whole Berry Medley, 16 Oz"
78742369440-greatvaluecutgreenbeans145ozcan,"Great Value Cut Green Beans, 14.5 Oz Can"
78742209982-greatvaluepennepasta16oz,"Great Value Penne Pasta, 16 oz"
78742230511-greatvaluerigatoni16oz,"Great Value Rigatoni, 16 oz"
78742209999-greatvaluerotinipasta16oz,"Great Value Rotini Pasta, 16 oz"
78742054254-greatvaluecutgreenbeanscan28oz,"Great Value Cut Green Beans Can, 28 Oz"
78742237022-greatvaluethincrispycantinastyletortillachips13oz,"Great Value Thin & Crispy Cantina Style Tortilla Chips, 13 oz"
781138715164-onthebordermexicangrillcantinathinstortillachips16oz,"On the Border Mexican Grill & Cantina Thins Tortilla Chips, 16 Oz."
78742122052-greatvaluecanolaoil1gal,"Great Value Canola Oil, 1 gal"
78742210001-greatvaluevegetableoil1gal,"Great Value Vegetable Oil, 1 gal"
78742127088-greatvaluelargewhiteeggs18count,"Great Value Large White Eggs, 18 Count"
78742085494-greatvaluesoupoystercrackers9oz,"Great Value, Soup & Oyster Crackers, 9 oz"
78742020433-greatvaluevanillawafers11oz,"Great Value Vanilla Wafers, 11oz"
78742369457-greatvalueglutenfreefrenchstylegreenbeans1425ozcan,"Great Value Gluten-Free French Style Green Beans, 14.25 Oz Can"
78742228037-greatvaluepuregranulatedsugar4lb,"Great Value Pure Granulated Sugar, 4 lb"
38000138577-pringlespotatocrispschipslunchsnacksonthegosnackscheddarcheese55oz1can,"Pringles Potato Crisps Chips, Lunch Snacks, On The Go Snacks, Cheddar Cheese, 5.5oz, 1 Can"
78742372198-greatvalueconfectionerspowderedsugar32oz,"Great Value Confectioners Powdered Sugar, 32 oz"
78742372211-greatvaluelightbrownsugar2lb,"Great Value Light Brown Sugar, 2 Lb"
78742431673-greatvaluecanolaoil48floz,"Great Value Canola Oil, 48 fl oz"
78742094595-greatvaluemandarinorangesinlightsyrup15oz,"Great Value Mandarin Oranges in Light Syrup, 15 oz"
605388187925-greatvaluespaghettiringspastawithmeatballsintomatosauce15oz,"Great Value Spaghetti Rings Pasta with Meatballs in Tomato Sauce, 15 oz"
78742125770-clearamericaniceblackraspberrysparklingjuice17flozbottle,"Clear American Ice Black Raspberry Sparkling Juice, 17 Fl Oz Bottle"
78742429540-greatvaluecolasodapop2litrebottle,"Great Value Cola Soda Pop, 2 Litre Bottle"
78742229713-greatvaluecaffeinefreegingerale2litrebottle,"Great Value Caffeine-Free Ginger Ale, 2 Litre Bottle"
78742226583-samscoladietsodapop2litrebottle,"Sams Cola Diet Soda Pop, 2 Litre Bottle"
78742371931-greatvalueslicedmushrooms4ozcan,"Great Value Sliced Mushrooms, 4 oz, Can"
78742051727-clearamericanfujiapplesparklingwater338floz,"Clear American Fuji Apple Sparkling Water, 33.8 fl oz"
78742074047-greatvalueclassicalfredopastasauce16oz,"Great Value Classic Alfredo Pasta Sauce, 16 oz"
78742025018-clearamericancherrylimeadesparklingwater338flozbottle,"Clear American Cherry Limeade Sparkling Water, 33.8 Fl Oz, Bottle"
50000010516-nestlecarnationevaporatedmilkvitamindadded5floz,"Nestle Carnation Evaporated Milk, Vitamin D Added 5 fl oz."
78742369525-greatvaluetomatosauce15oz,"Great Value Tomato Sauce, 15 oz"
78742209760-samscolasodapop12floz12packcans,"Sams Cola Soda Pop, 12 Fl Oz, 12 Pack Cans"
78742206240-clearamericansparklingwaterwhitegrape338floz,"Clear American Sparkling Water, White Grape, 33.8 fl oz"
78742206257-clearamericanblackcherrysparklingwater338floz,"Clear American Black Cherry Sparkling Water, 33.8 fl oz"
681131780964-clearamericansparklingwaterwildcherry338floz,"Clear American Sparkling Water, Wild Cherry, 33.8 fl oz"
78742429632-clearamericansparklingwaterkeylime338floz,"Clear American Sparkling Water, Key Lime 33.8 fl oz"
78742430157-samscolasodapop12floz24packcans,"Sams Cola Soda Pop, 12 Fl Oz, 24 Pack Cans"
78742072531-greatvaluehoneygrahamcrackers144oz,"Great Value Honey Graham Crackers, 14.4 oz"
78742088945-clearamericanlemonsparklingwater338flozbottle,"Clear American Lemon Sparkling Water, 33.8 Fl Oz, Bottle"
78742206226-clearamericanpeachsparklingwater338floz,"Clear American Peach Sparkling Water, 33.8 fl oz"
78742000206-greatvaluetraditionalpastasauce24oz,"Great Value Traditional Pasta Sauce, 24 oz"
21000658831-kraftoriginalmacaroniandcheesedinner725ozbox,"Kraft Original Macaroni and Cheese Dinner, 7.25 oz Box"
78742369433-greatvaluenosaltaddedcutgreenbeans145oz,"Great Value No Salt Added Cut Green Beans, 14.5 Oz"
78742369426-greatvaluewholegreenbeans145ozcan,"Great Value Whole Green Beans, 14.5 oz, Can"
78742369396-greatvaluegoldensweetwholekernelcorn145oz,"Great Value Golden Sweet Whole Kernel Corn, 14.5 oz"
64144043064-chefboyardeeminibeefraviolimicrowavepasta15oz,"Chef Boyardee Mini Beef Ravioli, Microwave Pasta, 15 Oz"
78742228679-greatvaluegardenrotinipasta16oz,"Great Value Garden Rotini Pasta, 16 Oz"
64144043156-chefboyardeebeefravioliintomatosaucemicrowavepasta15oz,"Chef Boyardee Beef Ravioli in Tomato Sauce, Microwave Pasta, 15 Oz"
16000503304-bettycrockersuddenlypastasaladclassicpastasalad775oz,"Betty Crocker Suddenly Pasta Salad, Classic Pasta Salad, 7.75 oz"
78742085845-greatvaluefettuccine16oz,"Great Value Fettuccine, 16 oz"
78742370064-greatvalueallpurposeflour5lbbag,"Great Value All-Purpose Flour, 5LB Bag"
78742110684-greatvaluesweetpeascannedsweetpeas15ozcan,"Great Value Sweet Peas, Canned Sweet Peas, 15 oz Can"
64144043026-chefboyardeebeefaroni15oz,"Chef Boyardee Beefaroni, 15 oz"
78742094212-greatvaluecreamstylesweetcorn1475oz,"Great Value Cream Style Sweet Corn, 14.75 Oz"
64144043224-chefboyardeespaghettiandmeatballsmicrowavepasta145oz,"Chef Boyardee Spaghetti and Meatballs, Microwave Pasta, 14.5 Oz"
78742119151-greatvaluemarshmallows10oz,"Great Value Marshmallows, 10 oz"
49200045503-dominopremiumpurecanegranulatedsugar4lb,"Domino Premium Pure Cane Granulated Sugar, 4 lb"
78742370378-greatvalueevaporatedmilk12floz,"Great Value Evaporated Milk, 12 Fl Oz"
21000658831-kraftoriginalmacaroniandcheesedinner725ozbox,"Kraft Original Macaroni and Cheese Dinner, 7.25 oz Box"
21000658930-velveetashellsandcheeseoriginalshellpastacheesesaucedinner12ozbox,"Velveeta Shells and Cheese Original Shell Pasta & Cheese Sauce Dinner, 12 oz Box"
78742229539-greatvalue100applejuice96floz,"Great Value 100% Apple Juice, 96 Fl. Oz."
37100036622-libbyswholekernelsweetcorn1525oz,"Libby's Whole Kernel Sweet Corn, 15.25 Oz"
37297914475-masecaglutenfreeinstantcornmasaflour44lbbag,"Maseca Gluten Free Instant Corn Masa Flour, 4.4 lb Bag"
78742086774-greatvaluenosaltaddedsweetpeascannedsweetpeas15ozcan,"Great Value No Salt Added Sweet Peas, Canned Sweet Peas, 15 oz Can"
21000658930-velveetashellsandcheeseoriginalshellpastacheesesaucedinner12ozbox,"Velveeta Shells and Cheese Original Shell Pasta & Cheese Sauce Dinner, 12 oz Box"
78742369556-greatvaluetomatopaste6oz,"Great Value Tomato Paste, 6 oz"
41789002175-maruchanshrimpflavorramennoodlesoup3oz,"Maruchan Shrimp Flavor Ramen Noodle Soup, 3 oz"
78742369501-greatvaluetomatosauce8oz,"Great Value Tomato Sauce, 8 oz"
78742369990-greatvaluecreamypeanutbutter18ounces,"Great Value Creamy Peanut Butter, 18 ounces"
80000495242-starkist®chunklighttunainwater26ozpouchseafood,StarKist® Chunk Light Tuna In Water - 2.6oz Pouch seafood
78742369594-greatvalueslicedpeachesin100juice15oz,"Great Value Sliced Peaches in 100% Juice, 15 Oz"
80000006738-starkist®chunklighttunainwater5ozcan,StarKist® Chunk Light Tuna in Water - 5 oz Can
21000026326-kraftrealmayocreamysmoothmayonnaise,Kraft Real Mayo Creamy & Smooth Mayonnaise
21000026326-kraftrealmayocreamysmoothmayonnaise30flozjar,"Kraft Real Mayo Creamy & Smooth Mayonnaise, 30 fl oz Jar"
21000026494-12packmiraclewhiporiginaldressing30flozjar,"(12 Pack) Miracle Whip Original Dressing, 30 Fl Oz Jar"
13000798402-heinzhomestyleroastedturkeygravyvaluesize18ozjar,"Heinz HomeStyle Roasted Turkey Gravy Value Size, 18 oz Jar"
21000026494-miraclewhipdressing30flozjar,"Miracle Whip Dressing, 30 fl oz Jar"
43000285213-stovetopstuffingmixforchicken6ozbox,"Stove Top Stuffing Mix for Chicken, 6 oz Box"
43000285213-stovetopstuffingmixforchicken6ozbox,"Stove Top Stuffing Mix for Chicken, 6 oz Box"
52100090306-mccormickturkeygravyseasoningmix087oz,"McCormick Turkey Gravy Seasoning Mix, 0.87 oz"
52100090306-mccormickturkeygravyseasoningmix087oz,"McCormick Turkey Gravy Seasoning Mix, 0.87 oz"
78742230610-walmartgreatvaluethickcreamymacaronicheese725oz,"Walmart Great Value Thick & Creamy Macaroni & Cheese, 7.25 oz"
78742433134-greatvaluepremiumoriginalshellscheese12oz,"Great Value Premium Original Shells & Cheese, 12 oz"
28000215804-nestletollhousesemisweetchocolatechips12oz,Nestle Toll House Semi Sweet Chocolate Chips 12 oz.
41789001154-maruchaninstantlunchlimechiliflavorwshrimpinstantlunch225oz,"Maruchan Instant Lunch Lime Chili Flavor w/Shrimp Instant Lunch, 2.25 oz"
52000208078-8bottlesgatoradethirstquenchersportsdrinkorange20floz,"(8 Bottles) Gatorade Thirst Quencher Sports Drink, Orange, 20 fl oz"
78742020624-greatvaluechickenbroth32oz,"Great Value Chicken Broth, 32 Oz."
51000233141-campbellsspaghettios pastawithmeatballs156ounce can,"Campbell's SpaghettiOs Pasta with Meatballs, 15.6 Ounce Can"
52000208443-8bottlesgatoradethirstquenchersportsdrinkcoolblue20floz,"(8 Bottles) Gatorade Thirst Quencher Sports Drink, Cool Blue, 20 fl oz"
78742020631-greatvaluebeefbroth32oz,"Great Value Beef Broth, 32 oz"
74471017201-cafébusteloespressostyledarkroastgroundcoffeevacuumpacked10ozbrick,"Café Bustelo, Espresso Style Dark Roast Ground Coffee, Vacuum-Packed 10 oz. Brick"
78742236193-greatvaluechocolatealmondbark24oz,"Great Value Chocolate Almond Bark, 24 oz"
78742351872-greatvalue2reducedfatmilkgallon128floz,"Great Value 2% Reduced Fat Milk, Gallon, 128 fl oz"
78742351865-greatvaluewholevitamindmilkgallon128floz,"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz"
78742236209-greatvaluealmondbarkvanilla24oz,"Great Value Almond Bark, Vanilla, 24 oz"
78742233406-greatvaluefamilydisposablepapernapkinswhite250count,"Great Value Family Disposable Paper Napkins, White, 250 Count"
17000009469-armourchickenporkpottedmeat3ozcan,Armour Chicken & Pork Potted Meat 3 oz Can
41789002328-maruchanramennoodlebeefflavorsoup3oz12count,"Maruchan Ramen Noodle Beef Flavor Soup, 3 Oz, 12 Count"
28000517809-nestlelalecherasweetenedcondensedmilk14oz,Nestle La Lechera Sweetened Condensed Milk 14 oz.
50000103683-purinafriskieswetcatfoodshredswithoceanwhitefishtunainsauce55ozcan,"Purina Friskies Wet Cat Food, Shreds With Ocean Whitefish & Tuna in Sauce - 5.5 oz. Can"
24100440702-cheezitcheesecrackersbakedsnackcrackersofficeandkidssnacksoriginal21oz1box,"Cheez-It Cheese Crackers, Baked Snack Crackers, Office and Kids Snacks, Original, 21oz, 1 Box"
70662087237-nissinteriyakibeefflavorchowmeinnoodles4oz,"Nissin Teriyaki Beef Flavor Chow Mein Noodles, 4 oz"
44000027346-nillawafersvanillawafercookies11oz,"Nilla Wafers Vanilla Wafer Cookies, 11 oz"
78742088198-greatvaluenoaddedsweeteners100applejuice64floz,"Great Value No Added Sweeteners 100% Apple Juice, 64 Fl. Oz."
78742001012-greatvaluechunkchickenbreastinwater5ozcan,"Great Value Chunk Chicken Breast, in Water, 5 oz Can"
49000024708-spritecaffeinefreelemonlimesodapop169floz6packbottles,"Sprite Caffeine-Free Lemon Lime Soda Pop, 16.9 Fl Oz, 6 Pack Bottles"
888109110109-hostesstwinkiescakes10count1358oz,"Hostess Twinkies Cakes, 10 count, 13.58 oz"
78742353388-greatvalueiodizedsalt26oz,"Great Value Iodized Salt, 26 oz"
39000086691-libbyschickenviennasausage46ozcan,"Libby's Chicken Vienna Sausage, 4.6 oz Can"
52100098609-mccormickbrowngravymix087oz,"McCormick Brown Gravy Mix, 0.87 oz"
16000430549-bettycrockersupermoistyellowcakemix1525oz,"Betty Crocker Super Moist Yellow Cake Mix, 15.25 oz"
50000445691-friskiesgravywetcatfoodshredschickensalmondinneringravy55ozcan,"Friskies Gravy Wet Cat Food, Shreds Chicken & Salmon Dinner in Gravy - 5.5 oz. Can"
50000836123-fancyfeastgravywetcatfoodgrilledtunafeast3ozcan,"Fancy Feast Gravy Wet Cat Food, Grilled Tuna Feast, 3 oz. Can"
50000170166-purinafriskieswetcatfoodprimefiletswithoceanwhitefishtunainsauce55ozcan,"Purina Friskies Wet Cat Food, Prime Filets With Ocean Whitefish & Tuna in Sauce - 5.5 oz. Can"
50000425044-purinafriskiespatewetcatfoodmarinerscatch55ozcan,"Purina Friskies Pate Wet Cat Food, Mariner's Catch - 5.5 oz. Can"
13000799102-heinzhomestyleroastedturkeygravy12ozjar,"Heinz HomeStyle Roasted Turkey Gravy, 12 oz Jar"
16000409811-bettycrockersupermoistwhitecakemix1625ozbox,"Betty Crocker Super Moist White Cake Mix, 16.25 oz Box"
78742370088-greatvalueoriginalsyrup24floz,"Great Value Original Syrup, 24 fl oz"
78742352961-greatvaluevegetableoil48floz,"Great Value Vegetable Oil, 48 fl oz"
14800000108-mottsapplesauce4ozcups6count,"Mott's Applesauce, 4 oz cups, 6 count"
43000285558-stovetopstuffingmixforturkey6ozbox,"Stove Top Stuffing Mix for Turkey, 6 oz Box"
31200016058-oceansprayjelliedcranberrysauce14ozcan,"Ocean Spray Jellied Cranberry Sauce, 14 oz Can"
50000170180-24packfriskiesgravywetcatfoodprimefiletswithchicken55ozcans,"(24 Pack) Friskies Gravy Wet Cat Food, Prime Filets With Chicken, 5.5 oz. Cans"
78742369693-greatvaluepineapplechunks20oz,"Great Value Pineapple Chunks, 20 Oz"
51000025494-pregopastasaucetraditionalitaliantomatosauce24ouncejar,"Prego Pasta Sauce, Traditional Italian Tomato Sauce, 24 Ounce Jar"
50000421541-purinafriskiespatewetcatfoodpatemixedgrill55ozcan,"Purina Friskies Pate Wet Cat Food, Pate Mixed Grill - 5.5 oz. Can"
50000424948-friskiespatewetcatfoodoceanwhitefishtunadinner55ozcan,"Friskies Pate Wet Cat Food, Ocean Whitefish & Tuna Dinner, 5.5 oz. Can"
21000658978-kraftspiralsoriginalmacaroniandcheesedinner55ozbox,"Kraft Spirals Original Macaroni and Cheese Dinner, 5.5 oz Box"
50000429042-fancyfeastgrainfreepatewetcatfoodtenderliverchickenfeast3ozcan,"Fancy Feast Grain Free Pate Wet Cat Food, Tender Liver & Chicken Feast, 3 oz. Can"
50000429448-fancyfeastgrainfreepatewetcatfoodclassicpatesavorysalmonfeast3ozcan,"Fancy Feast Grain Free Pate Wet Cat Food, Classic Pate Savory Salmon Feast, 3 oz. Can"
50000412204-purinafriskiesgravywetcatfoodshredsturkeycheesedinner55ozcan,"Purina Friskies Gravy Wet Cat Food, Shreds Turkey & Cheese Dinner - 5.5 oz. Can"
50000421848-purinafriskiespatewetcatfoodturkeygibletsdinner55ozcan,"Purina Friskies Pate Wet Cat Food, Turkey & Giblets Dinner - 5.5 oz. Can"
76808280081-barillaclassicspaghettipasta16ozbox,"Barilla Classic Spaghetti Pasta, 16 oz Box"
74471017201-cafébusteloespressostyledarkroastgroundcoffeevacuumpacked10ozbrick,"Café Bustelo, Espresso Style Dark Roast Ground Coffee, Vacuum-Packed 10 oz. Brick"
21000045129-velveetashellsandcheeseoriginalshellpastacheesesaucedinner3ctpack12ozboxes,"Velveeta Shells and Cheese Original Shell Pasta & Cheese Sauce Dinner, 3 ct Pack, 12 oz Boxes"
13000799102-heinzhomestyleroastedturkeygravy12ozjar,"Heinz HomeStyle Roasted Turkey Gravy, 12 oz Jar"
37297914475-masecaglutenfreeinstantcornmasaflour44lbbag,"Maseca Gluten Free Instant Corn Masa Flour, 4.4 lb Bag"
51000232830-campbellsspaghettiosoriginal158ozcan,"Campbell's SpaghettiOs Original, 15.8 oz Can"
24300041563-littledebbievanillachristmastreecakesfamilypack852oz5count,"Little Debbie Vanilla Christmas Tree Cakes, Family Pack, 8.52 oz, 5 Count"
43000955475-koolaidunsweetenedblueraspberrylemonadeartificiallyflavoredpowdereddrinkmix022ozpacket,"Kool-Aid Unsweetened Blue Raspberry Lemonade Artificially Flavored Powdered Drink Mix, 0.22 oz. Packet"
21000774364-kraftoriginalmacaroniandcheesedinner5ctpack725ozboxes,"Kraft Original Macaroni and Cheese Dinner, 5 ct Pack, 7.25 oz Boxes"
87684001073-caprisunfruitpunchflavoredjuicedrinkblend10ctpouches600flozbox,"Capri Sun Fruit Punch Flavored Juice Drink Blend, 10 ct - Pouches, 60.0 fl oz Box"
43000955673-3packkoolaidunsweetenedblackcherrypowderedsoftdrink013ozenvelope,"(3 Pack) Kool-Aid Unsweetened Black Cherry Powdered Soft Drink, 0.13 oz Envelope"
43000059043-koolaidunsweetenedsharkleberryfinstrawberryorangepunchartificiallyflavoredpowderedsoftdrinkmix016ozpacket,"Kool-Aid Unsweetened Sharkleberry Fin Strawberry Orange Punch Artificially Flavored Powdered Soft Drink Mix, 0.16 oz Packet"
87684000991-caprisunstrawberrykiwinaturallyflavoredjuicedrinkblend10ctbox6flozpouches,"Capri Sun Strawberry Kiwi Naturally Flavored Juice Drink Blend, 10 ct Box, 6 fl oz Pouches"
21000612239-philadelphiaoriginalcreamcheese8ozbrick,"Philadelphia Original Cream Cheese, 8 oz Brick"
21000653713-kraftthickncreamymacaroniandcheesedinner725ozbox,"Kraft Thick 'n Creamy Macaroni and Cheese Dinner, 7.25 oz Box"
87684000953-caprisunpacificcoolermixedfruitflavoredjuicedrinkblend10ctpouches600flozbox,"Capri Sun Pacific Cooler Mixed Fruit Flavored Juice Drink Blend, 10 ct - Pouches, 60.0 fl oz Box"
43000955673-koolaidunsweetenedblackcherryartificiallyflavoredpowderedsoftdrinkmix013ozpacket,"Kool-Aid Unsweetened Black Cherry Artificially Flavored Powdered Soft Drink Mix, 0.13 oz Packet"
21000040247-philadelphiaoriginalcreamcheese2ctpack8ozbricks,"Philadelphia Original Cream Cheese, 2 ct Pack, 8 oz Bricks"
43000028254-koolaidjammerstropicalpunchartificiallyflavoredsoftdrink10ctbox6flozpouches,"Kool-Aid Jammers Tropical Punch Artificially Flavored Soft Drink, 10 ct Box, 6 fl oz Pouches"
43000059043-koolaidunsweetenedsharkleberryfinstrawberryorangepunchartificiallyflavoredpowderedsoftdrinkmix016ozpacket,"Kool-Aid Unsweetened Sharkleberry Fin Strawberry Orange Punch Artificially Flavored Powdered Soft Drink Mix, 0.16 oz Packet"
